;dependencia;DIRECCION;;
1;DIR.DE ENCUESTA PERMANENTE DE HOGARES (DIR. E.P.H.);Dirección de Encuesta Permanente de Hogares;"""";"dependencia == ""DIR.DE ENCUESTA PERMANENTE DE HOGARES (DIR. E.P.H.)"" ~ ""Dirección de Encuesta Permanente de Hogares"","
2;DIR.GRAL. RECURSOS HUMANOS Y ORGANIZACION (D.G.RR.HH. Y O.);Dirección General de Recursos Humanos y Organización;"""";"dependencia == ""DIR.GRAL. RECURSOS HUMANOS Y ORGANIZACION (D.G.RR.HH. Y O.)"" ~ ""Dirección General de Recursos Humanos y Organización"","
3;DELEGACION REGIONAL INDEC PATAGONIA (DEL.REG.PATAGON);sin dato;"""";"dependencia == ""DELEGACION REGIONAL INDEC PATAGONIA (DEL.REG.PATAGON)"" ~ ""sin dato"","
4;DIR.CTA.PROD.OCUP.ING. (DIR.CTA.PRO.OCU);Dirección de Cuentas de la Producción, Ocupación e Ingresos;"""";"dependencia == ""DIR.CTA.PROD.OCUP.ING. (DIR.CTA.PRO.OCU)"" ~ ""Dirección de Cuentas de la Producción, Ocupación e Ingresos"","
5;DIR.DE IND.DE PREC.DE CONSUMO (DIR. I.P.C.);Dirección de Indice de Precios de Consumo;"""";"dependencia == ""DIR.DE IND.DE PREC.DE CONSUMO (DIR. I.P.C.)"" ~ ""Dirección de Indice de Precios de Consumo"","
6;DIR.DE LOGISTICA OPERATIVA (DIR.LOG.OPE.);Dirección de Logística Operativa;"""";"dependencia == ""DIR.DE LOGISTICA OPERATIVA (DIR.LOG.OPE.)"" ~ ""Dirección de Logística Operativa"","
7;DIRECCION DE INFORMATICA (DIR.INFORMATICA);Dirección de Informatica;"""";"dependencia == ""DIRECCION DE INFORMATICA (DIR.INFORMATICA)"" ~ ""Dirección de Informatica"","
8;DIR.DE PROG.Y CONTROL PRESUPUESTARIO (DIR.PRO.CON.PRE);Dirección de Programación y Control Presupuestario;"""";"dependencia == ""DIR.DE PROG.Y CONTROL PRESUPUESTARIO (DIR.PRO.CON.PRE)"" ~ ""Dirección de Programación y Control Presupuestario"","
9;DIR.DE EST.DE ING. Y GASTOS DE LOS HOGARES (DIR.ING.GAS.HOG);Dirección de Estudios de Ingresos y Gastos de los Hogares;"""";"dependencia == ""DIR.DE EST.DE ING. Y GASTOS DE LOS HOGARES (DIR.ING.GAS.HOG)"" ~ ""Dirección de Estudios de Ingresos y Gastos de los Hogares"","
10;DIR.NAC.DE ESTAD.SOCIALES Y DE POBLACION (DIR.N.E.SOC.POB);Dirección Nacional de Estadisticas Sociales y Población;"""";"dependencia == ""DIR.NAC.DE ESTAD.SOCIALES Y DE POBLACION (DIR.N.E.SOC.POB)"" ~ ""Dirección Nacional de Estadisticas Sociales y Población"","
11;DIR.DE ESTAD.DEL SECTOR SECUNDARIO (DIR.EST.SEC.SEC);Dirección de Estadísticas del Sector Secundario;"""";"dependencia == ""DIR.DE ESTAD.DEL SECTOR SECUNDARIO (DIR.EST.SEC.SEC)"" ~ ""Dirección de Estadísticas del Sector Secundario"","
12;COORDINACION TECNICA NOA (COORD.TEC.NOA);sin dato;"""";"dependencia == ""COORDINACION TECNICA NOA (COORD.TEC.NOA)"" ~ ""sin dato"","
13;DIR.DE CAPAC.Y CARRERA DEL PERSONAL (D.CAP.CARR.PERS);Dirección de Capacitación y Carrera de Personal;"""";"dependencia == ""DIR.DE CAPAC.Y CARRERA DEL PERSONAL (D.CAP.CARR.PERS)"" ~ ""Dirección de Capacitación y Carrera de Personal"","
14;DIRECCION DE COMPRAS Y CONTRATACIONES (DIR.COMP.CONT.);Dirección de Compras y Contrataciones;"""";"dependencia == ""DIRECCION DE COMPRAS Y CONTRATACIONES (DIR.COMP.CONT.)"" ~ ""Dirección de Compras y Contrataciones"","
15;DIR.DE ADMINISTRACION DE RECURSOS HUMANOS (DIR.RR.HH.);Dirección de Administración de Recursos Humanos;"""";"dependencia == ""DIR.DE ADMINISTRACION DE RECURSOS HUMANOS (DIR.RR.HH.)"" ~ ""Dirección de Administración de Recursos Humanos"","
16;DIR.DE ESTAD.DE SECTOR TERC.Y PREC. (DIR.EST.SEC.TER);Dirección Nacional de Estadísticas del Sector Terciario y Precios;"""";"dependencia == ""DIR.DE ESTAD.DE SECTOR TERC.Y PREC. (DIR.EST.SEC.TER)"" ~ ""Dirección Nacional de Estadísticas del Sector Terciario y Precios"","
17;DIRECCION INDEC (INDEC);Dirección del INDEC;"""";"dependencia == ""DIRECCION INDEC (INDEC)"" ~ ""Dirección del INDEC"","
18;DIR.DE ESTAD.BASICAS DE LA BALANZA DE PAGOS (D.E.B.BAL.PAG);Dirección de Estadisticas de la Balanza de Pagos;"""";"dependencia == ""DIR.DE ESTAD.BASICAS DE LA BALANZA DE PAGOS (D.E.B.BAL.PAG)"" ~ ""Dirección de Estadisticas de la Balanza de Pagos"","
19;DIR.NAC.DE ESTAD.DEL SECTOR EXTERNO (DIR.N.E.SEC.EXT);Dirección Nacional de Estadisticas del Sector Externo;"""";"dependencia == ""DIR.NAC.DE ESTAD.DEL SECTOR EXTERNO (DIR.N.E.SEC.EXT)"" ~ ""Dirección Nacional de Estadisticas del Sector Externo"","
20;DIR.DE ESTAD.DEL SECTOR PRIMARIO (DIR.EST.SEC.PRI);Dirección de Estadisticas del Sector Primario;"""";"dependencia == ""DIR.DE ESTAD.DEL SECTOR PRIMARIO (DIR.EST.SEC.PRI)"" ~ ""Dirección de Estadisticas del Sector Primario"","
21;COORDINACION DE PROD. GRAFICA Y EDITORIAL (C.PROD.GRAF.EDI);sin dato;"""";"dependencia == ""COORDINACION DE PROD. GRAFICA Y EDITORIAL (C.PROD.GRAF.EDI)"" ~ ""sin dato"","
22;DIRECCION DE PLANIFICACION (DIR.PLANIF.);Dirección de Planificación;"""";"dependencia == ""DIRECCION DE PLANIFICACION (DIR.PLANIF.)"" ~ ""Dirección de Planificación"","
23;DIR.DE ESTAD.DEL COMERCIO EXTERIOR (DIR.EST.COM.EXT);sin dato;"""";"dependencia == ""DIR.DE ESTAD.DEL COMERCIO EXTERIOR (DIR.EST.COM.EXT)"" ~ ""sin dato"","
24;DIR.GRAL.DE ADMINISTRACION Y OPERACIONES (DIR.GRAL.ADM.OP);Dirección General de Administración y Operaciones;"""";"dependencia == ""DIR.GRAL.DE ADMINISTRACION Y OPERACIONES (DIR.GRAL.ADM.OP)"" ~ ""Dirección General de Administración y Operaciones"","
25;DIRECCION DE REGISTRO Y ANALISIS (DIR.REG.ANALIS.);sin dato;"""";"dependencia == ""DIRECCION DE REGISTRO Y ANALISIS (DIR.REG.ANALIS.)"" ~ ""sin dato"","
26;DIR.NAC.DE ESTAD.DE CONDICIONES DE VIDA (DIR.N.E.COND.VI);Dirección Nacional de Estadísticas de Condiciones de Vida;"""";"dependencia == ""DIR.NAC.DE ESTAD.DE CONDICIONES DE VIDA (DIR.N.E.COND.VI)"" ~ ""Dirección Nacional de Estadísticas de Condiciones de Vida"","
27;DIR.DE ASUNTOS JURIDICOS (DIR.ASUNT.JURID);sin dato;"""";"dependencia == ""DIR.DE ASUNTOS JURIDICOS (DIR.ASUNT.JURID)"" ~ ""sin dato"","
28;DIR.DE CONSUMO INV.Y SECTOR EXT. (DIR.CON.INV.S.E);sin dato;"""";"dependencia == ""DIR.DE CONSUMO INV.Y SECTOR EXT. (DIR.CON.INV.S.E)"" ~ ""sin dato"","
29;DIR.NAC.DE PLANIF.,RELAC.INST.E INTERNACIO (D.N.P.,R.I.E IN);Dirección Nacional de Planificación y Relaciones Institucionales e Internacionales;"""";"dependencia == ""DIR.NAC.DE PLANIF.,RELAC.INST.E INTERNACIO (D.N.P.,R.I.E IN)"" ~ ""Dirección Nacional de Planificación y Relaciones Institucionales e Internacionales"","
30;DIR.NAC.DEL SISTEMA ESTADISTICO NACIONAL (D.N.SIST.E.NAC.);Dirección Nacional del Sistema Estadístico Nacional;"""";"dependencia == ""DIR.NAC.DEL SISTEMA ESTADISTICO NACIONAL (D.N.SIST.E.NAC.)"" ~ ""Dirección Nacional del Sistema Estadístico Nacional"","
31;DIR.DE ESTAD.POBLACIONALES (DIR.ESTAD.POBLA);Dirección de Estadisticas Poblacionales;"""";"dependencia == ""DIR.DE ESTAD.POBLACIONALES (DIR.ESTAD.POBLA)"" ~ ""Dirección de Estadisticas Poblacionales"","
32;COORD.DE CLASIFICADORES Y NOMENCLATURAS (COOR.CLASIF.NOM);sin dato;"""";"dependencia == ""COORD.DE CLASIFICADORES Y NOMENCLATURAS (COOR.CLASIF.NOM)"" ~ ""sin dato"","
33;COORD.DE ESTAD.DE GRANDES EMPRESAS (COOD.EST.GRA.EM);sin dato;"""";"dependencia == ""COORD.DE ESTAD.DE GRANDES EMPRESAS (COOD.EST.GRA.EM)"" ~ ""sin dato"","
34;COORDINACION DE PATRIMONIO Y SUMINISTROS (COOR.PAT.Y SUM.);sin dato;"""";"dependencia == ""COORDINACION DE PATRIMONIO Y SUMINISTROS (COOR.PAT.Y SUM.)"" ~ ""sin dato"","
35;DIR.NAC.DE CUENTAS NACIONALES (DIR NAC CTA NAC);Dirección Nacional de Cuentas Nacionales;"""";"dependencia == ""DIR.NAC.DE CUENTAS NACIONALES (DIR NAC CTA NAC)"" ~ ""Dirección Nacional de Cuentas Nacionales"","
36;COORDINACION DE SERVICIOS DE INFORMACION (COORD.SERV.INF.);sin dato;"""";"dependencia == ""COORDINACION DE SERVICIOS DE INFORMACION (COORD.SERV.INF.)"" ~ ""sin dato"","
37;DIRECCION DE GESTION (DIR.DE GESTION);Dirección de Gestión;"""";"dependencia == ""DIRECCION DE GESTION (DIR.DE GESTION)"" ~ ""Dirección de Gestión"","
38;COORDINACION DEL SISTEMA GEOESTADISTICO (COORD.SIST.GEO.);sin dato;"""";"dependencia == ""COORDINACION DEL SISTEMA GEOESTADISTICO (COORD.SIST.GEO.)"" ~ ""sin dato"","
39;DIR.NAC.DE METODOLOGIA ESTADISTICA (DIR.N.MET.ESTAD);Dirección Nacional de Metodologia Estadistica;"""";"dependencia == ""DIR.NAC.DE METODOLOGIA ESTADISTICA (DIR.N.MET.ESTAD)"" ~ ""Dirección Nacional de Metodologia Estadistica"","
40;DIR.DE BIENES Y SERVICIOS REALES (DIR.BIE.SER.REA);Dirección de Bienes y Servicios Reales;"""";"dependencia == ""DIR.DE BIENES Y SERVICIOS REALES (DIR.BIE.SER.REA)"" ~ ""Dirección de Bienes y Servicios Reales"","
41;SECTORES EXTERNOS (SECT.EXT.);sin dato;"""";"dependencia == ""SECTORES EXTERNOS (SECT.EXT.)"" ~ ""sin dato"","
42;DIRECCION DE COMUNICACION (DIR.COMUNIC.);sin dato;"""";"dependencia == ""DIRECCION DE COMUNICACION (DIR.COMUNIC.)"" ~ ""sin dato"","
43;DIR.DE ESTAD.SECTORIALES (DIR.ESTAD.SECTO);Dirección de Estadisticas Sectoriales;"""";"dependencia == ""DIR.DE ESTAD.SECTORIALES (DIR.ESTAD.SECTO)"" ~ ""Dirección de Estadisticas Sectoriales"","
44;COORDINACION DE MUESTREO (COORD.MUESTREO);sin dato;"""";"dependencia == ""COORDINACION DE MUESTREO (COORD.MUESTREO)"" ~ ""sin dato"","
45;DIR.DE RELACIONES INST.E.INTER (D.REL.INST.INT);sin dato;"""";"dependencia == ""DIR.DE RELACIONES INST.E.INTER (D.REL.INST.INT)"" ~ ""sin dato"","
46;DIRECCION TECNICA (DIR TEC);Dirección Técnica;"""";"dependencia == ""DIRECCION TECNICA (DIR TEC)"" ~ ""Dirección Técnica"","
47;DIR.NAC.DE CTA.INTERNACIONALES (DIR.NAC.CTA.INT);Dirección Nacional de Cuentas Internacionales;"""";"dependencia == ""DIR.NAC.DE CTA.INTERNACIONALES (DIR.NAC.CTA.INT)"" ~ ""Dirección Nacional de Cuentas Internacionales"","
48;COORD.DE ORGANISMOS CENTRALES DEL SEN (C.ORG.CENT.SEN);sin dato;"""";"dependencia == ""COORD.DE ORGANISMOS CENTRALES DEL SEN (C.ORG.CENT.SEN)"" ~ ""sin dato"","
49;DELEGACION REGIONAL INDEC NOA (DEL.REG.NOA);sin dato;"""";"dependencia == ""DELEGACION REGIONAL INDEC NOA (DEL.REG.NOA)"" ~ ""sin dato"","
50;DIR.NAC.EST.Y PREC.DE LA PROD. Y EL COM. (DIR.N.E.P.PRO.C);Dirección Nacional de Estadísticas y Precios de la Producción y el Comercio;"""";"dependencia == ""DIR.NAC.EST.Y PREC.DE LA PROD. Y EL COM. (DIR.N.E.P.PRO.C)"" ~ ""Dirección Nacional de Estadísticas y Precios de la Producción y el Comercio"","
51;DELEGACION REGIONAL INDEC NEA (DEL.REG.NEA);sin dato;"""";"dependencia == ""DELEGACION REGIONAL INDEC NEA (DEL.REG.NEA)"" ~ ""sin dato"","
52;COORDINACION TECNICA NEA (COORD.TEC.NEA);sin dato;"""";"dependencia == ""COORDINACION TECNICA NEA (COORD.TEC.NEA)"" ~ ""sin dato"","
53;DIRECCION NAC. DE DIFUSION Y COMUNICACION (DIR N.DIF.Y CO );Dirección Nacional de Difusión y Comunicación;"""";"dependencia == ""DIRECCION NAC. DE DIFUSION Y COMUNICACION (DIR N.DIF.Y CO )"" ~ ""Dirección Nacional de Difusión y Comunicación"","
54;COORDINACION TECNICA PATAGONIA (COORD.TEC.PATAG);sin dato;"""";"dependencia == ""COORDINACION TECNICA PATAGONIA (COORD.TEC.PATAG)"" ~ ""sin dato"","
55;COORD.DE INVESTIG.Y DESARROLLO METOD. (C.INV.DES.MET.);sin dato;"""";"dependencia == ""COORD.DE INVESTIG.Y DESARROLLO METOD. (C.INV.DES.MET.)"" ~ ""sin dato"","
